cus_id,comment_time,comment_star,cus_comment,kouwei,huanjing,fuwu,shopID,label,year,month,weekday,hour,comment_len
??????,2018/5/29 20:14,sml-str10,???? ??? ???? ?? ?? ??? ??? ????? ?? ?? ?????,???,???,??,518986,1,2018,5,1,20,22
???м???,2018/5/17 11:28,sml-str10,??? ???? ???? ?? ??С? ???? ? λ?? ?? ???? ?? ????? ???? ???? ?? ??,???,??,??,518986,1,2018,5,3,11,33
ffairyy,2018/5/1 23:17,sml-str10,??? ? ?? ? ?? ??? ???? ?? ?ó? ?? ?? ?? ?? ????? ???? ? ??? ???? ? ??? ??? ?? ?? ?????? ???? ?? ??? ?? ?? ? ??? ?? ?? ???? ?? ?? ??? ????? ?? ???? ? ? ?? ? ?? ??? ?? ?? ??? ?? ??? ?? ??? ??? ??? ?? ? ??? ??? ????? ?? ???? ?? ????? ??? ?? ?? ???? ?? ???? ?? ? ?? ? ??? ??? ??? ?? ?? ??? ?? ??? ???? ?? ???? ? ??? ??? ?? ??? ???? ???? ??? ??? ???? ???? ?? ?????? ?? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ???? ?? ???? ?? ?? ???? ??? ????? ?? ?? ???? ???? ?? ???? ??? ??? ?? ?? ???? ??? ??? ?? ?? ? ??? ???? ?? ?? ????? ????? ? ?? ??? ???? ?? ???? ?? ??? ?? ?? ??? ???? ??? ?? ?? ???? ????? ??? ????? ??? ????? ?? ??? ?? ???? ?? ??λ ???? ??? ???? ??? ?? ??????? ??? ??,??,??,??,518986,1,2018,5,1,23,388
Zzillion,2018/4/20 20:11,sml-str10,??? ?? ???? ???? ???? ??? ???? ???? ?? ??? С? ???? ?? ????? ?? ?? ?? ?? ?? ? ? ???? ?? ??? ?? ???? ???? ??? ????? ???? ???? ?? ???? ?? ??,??,??,??,518986,1,2018,4,4,20,65
evilcatlovedh,2018/4/9 18:32,sml-str10,?? ??? ?? ?? ??? ??? ?? ?? ?? ??? ?? ?? ???? ?? ?? ?? ?? ????? ??? ???? ????,??,??,??,518986,1,2018,4,0,18,36
GAGA????,2018/4/8 17:38,sml-str10,?? ?? ?? ?? ??? ??? ??? ???? ?? ? ???? ??? ?? ?? ?? ?? ???? ??? ???? ??? ? ?? ???? ??? λ?? ?? ?? ?? ?? ??? ?? ?????? ?? ???? ???? ?? ?? ??? ?? ?? ?? ??? ??? ??? ?? ???? ??? ?? ?? ?? ????? ?? ?? ??? ?? ???? ?? ??? ???? ??? ???? ?? ???? ???? ?? ???? ??? ???? ?? ?? ??? С? ?? ?? ???? ?? ? ???? ? ?? ?? ?? ?? ????,??,??,??,518986,1,2018,4,6,17,212
Susie_Sheng,2018/4/4 22:50,sml-str10,???? ???? ?? a?? ???? ??? ??? ?? ?е? ??,??,???,???,518986,1,2018,4,2,22,21
wofcuk,2018/3/10 15:34,sml-str10,????? ???? ?? ???? ?? ??? ???? ?? ?? ?? ??? ?? ???? ?? ?? ???? ?? ???? ??? ??? ???? ???????,??,??,??,518986,1,2018,3,5,15,54
dpuser_03756960493,2018/3/8 17:51,sml-str10,???? ?ò? ???? ?? ?? ?? ?? ???? ?? ?? ?? ???? ?? ?? ?? ??? ????? ?? ??? ? ??? ??? ???? ???,???,??,??,518986,1,2018,3,3,17,43
??????,2018/2/21 0:16,sml-str10,???? ?? ??? ??? ??? ?? ??? ?? ?г? ???? ??? ???? ???? ?? ????? ?? ??? ?? ??? ?? ?? ?? ?? ??? ?????? ? ?? ???? ???? ??? ???? ?? ??? ??? ??? ?? ?? ?ó? ?? ???? ?? ?? ??? ???? ?? ?? ?? ? ?? ???? ?? ???? ?? ? ??? ??? ??? ??? ?? ? ???? ???? ?? ??? ?? ?? ??? С? ?? ???? ?? ?? ????? ???? ???? ??Ц ?? ?? ???? ????? ?? ??? ??? ??? ??? ???? ???? ????,??,??,??,518986,1,2018,2,2,0,238
lxz715,2018/2/20 8:06,sml-str10,???? ?? ???? ???? ??? ?? ??? ???? ? ???? ???? ??? ??? ???? ??? ?? ?? ?? ??? ?? ?? ζ?? ? ???? ??? ???? ?? ??? ?? ???? ??С? ???? ???? ???? ?? ?? ?? ???? ?? ?? ?? ?? ??? ?? ??? ?? ?? ???? ?????? ?? ?? ?? ???? ?? ?? ?? ?? ?? ?? ???? ?? ??? ?? ?? ??? ?????? ?? ???? ???? ???? ?? ???? ???? ?? ?,??,???,??,518986,1,2018,2,1,8,170
SINMANNNN,2018/2/16 21:54,sml-str10,?? ?? ?? ????? ???? ?? ?????? ?? ? ?? ?? ?? ?? ?????? ?ж?? ?? ?? ?? ?? ?? ??? ??? ?? ??????? ??????? ??? ?????? ?? ???? ?????? ￥?? ?? ???? ???? ???? ???? ?????? ???? ???? ?? ???? ???? С?? ???? ?? ??? ?? ???? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??? ???? ?? ???? ?? ???? ???? ??? ???? ??? ???? ?? ???? ???? λ ???? ?? λ ?? ?? ?? ?? ??? ?h ?? ?? ?? ?? ???? ???? ??? ?? λ?? ?? ?? ?? ???? ? ??? ???? ?? ?? ??? С?? ?? ? ?? ?? ?? ?? ???? ?? ???? ???? ??? ?? ??? ??? ? ??? ?? ?? ?? ???? ??? ??? ??? ????? ?? ???? ??? ??? ?? ??? ?? ?? ?? ??? ???? ?? ???? ??? ?? ???? ? ?? ???? ??? ?? ???? ?? ???? ?? ???? ?? ???? ?? ??? ?? ??? ?? ???? ??? ?? ? ?? ?? ?? ? ?? ???? ???? ??? ?? ???? ?? ???? ?? ?? ???? ? ??? ?? ?? ?? ?? ?? ?? ??? ??? ?? ???? ?? ??? ??? ??? ?? ? ￥?? ?? ????? ?? ??? ??? ? ? ?? ?? ?? ?? ?? ??? ??? ?? ???? ?? ??? ??? ??? ?? ??? ??? ??? ???? ???? ??? ?? ?? ?? ??? ??? ???? ???? ?? ???? ?? ??? ?? ?? ??? ?? ??? ?? ??? ???? ?? ??? ?? ??? ??? ???? ?? ??? ??? ?? ?? ??? ?? ?? ?? ?? ?t? ???? ??? ?? ?? ?? ?? ??? ???? ? ?? ?? ?? ?? ???? ??? ?? ???? ?? ?? ?? ? ???? ???? ??? ?? ???? ?? ???? ????,??,??,??,518986,1,2018,2,4,21,588
Exclusive66,2018/2/15 22:14,sml-str10,? ???? ?? ?? ??? ?? ? ????? ? ?? ???? ?? ???,??,??,??,518986,1,2018,2,3,22,23
Ω?king,2018/2/12 18:20,sml-str10,?? ???? ?? ?? ??????? ?? ???? ?? ? ?? ?? ?ó? ? ? ???,??,??,??,518986,1,2018,2,0,18,24
jessietobenoone,2018/2/3 12:44,sml-str10,??? ??? ?? ??? ?? ???? ?? ?? ?? ??? ????? ?? ????? ?? ??? ? ???? ???? ?? ?? ?? ???? ?? ?? ???? ?? ???? ?? ??? ?? ? ?? ??? ??? ???? ??? ???? ?? ? ?? ??? ?? ??? ?? ???? ?? ?? ????? ???????? ?? ?? ???? ????? ??? ?????? ???? ?? ?????? ???? ???? ??? ????? ?? ???? ?? ??? ?? ???? ?? ?? ???? ??? ? ??? ?? ?? ?????? ?? ?? ???? ?? л ?? ?? ???? ?? ?? ?? ?? ??? ?? ?? ???? ?? ?? ? ???? ?? ??,???,??,???,518986,1,2018,2,5,12,240
??????,2018/1/24 19:17,sml-str10,??? ???? ?? ?? ??? ?? ??? ?????,??,??,??,518986,1,2018,1,2,19,15
wuliu115,2017/12/30 17:19,sml-str10,???? ?? ???? ?? ??????? ???? ???? ??? ??? ?????? ???? ?? ?? ?? ?? ??? ?? ??? ???? ?? ???? ???? ?? ??,??,??,??,518986,1,2017,12,5,17,53
???С??,2017/12/28 19:11,sml-str10,???? ζ?? ????? ??? ? ?? ???? ?? ???? ?? ?? ??? ????? ??? ???? ????? ????? ?? ???? ?? ???? ?? ?? ???? ????? ?? ????? ?? ?????? ??? ???? ?? ??? ???? ??? ??? ?? ??? ???? ???? ? ???? ?? ?? ??? λ?? ????? ??? ?? ?? ?? ???? ???? ?? ????? ? ?? ???? ???? ???? ????? ??? ?? ???? ???? ?? ???? ???? ?? ?? ??? ?? ?? ????? ?? ?? ??? ?? ?? ?,???,???,??,518986,1,2017,12,3,19,222
fayetta,2017/12/22 21:18,sml-str10,???? ?? ??? ? ???? ?? ?? ??? ? ??? ?? ?? ??? ???? ?? ??? ?? ???? ?? ?? ?? ? ?? ? ?? ??? ?? ???? ????? ?? ? ??? ??? ?? ?? ? ?? ?? ???? ???? ???? ??? ??? ???? ?? ?? ?? ??? ?? ?? ?? ?? ??? ??? ??? ?? ?? ?? ?? ??? ?? ?? ??? ?? ??? ?? ?? ???? ?? ?? ???? ??? ???? ??? ?? ?? ?? ?? ?? ?? ?? ??? ???? ?? ??? ???? ? ??? ???? ???? ???? ??? ???? ??? ??? ??? ??? ?? ??? ?? ???? ?? ??? ??? ζ?? ?? ????,??,???,??,518986,1,2017,12,4,21,258
its_pisces,2017/11/28 11:15,sml-str10,??? ???? ?? ???н? ?? ???? ???? ??? ?? ????? ???? ? ?? ???? ? ?? ? ??? ???? ??? ???? ???? ???? ???? ???? ?? ??? ?? ???? ?? ???? ??? ?? ?? ??ζ ???? ??? ???? ???? ???? ?? ?? ??ζ ?? ?? ?? ? ?? ??? ?? ???? ??? ?? ???? ?? ?? ? ???? ?? ?? ?? ?? ?? ?? ??? ?? ?? ? ?? ? ????? ?? ?? ?? ??? ?? ??? ?? ???? ??? ???? ??? ?? ??? ??? ? ?????? ?? ???? ? ??? ??? ?? ?? ???? ??? ?? ?? ??? ? ?? ???? ? ?? ???? ??? ?? ?? ? ??? ?? ?? ??? ?? ??? ??? ?? ?Щ ?? ?? ???? ?? ??ζ ? ?? ??? ??? ??? ?? ???? ??? ?? ??? ??? ??? ???? ?? ?? ?? ζ?? ??? ??? ??,???,???,??,518986,1,2017,11,1,11,342
cc3818,2017/11/9 22:17,sml-str10,???? ????? ???? ?? ??? ????? ?? ?? ??? ????? ???? ???? ??? ???? ?? ???н? ?? ?? ??? ???? ?????? ??? ???? ???? ?? ?? ?? ?? ??? ???? ?? ?? ??? ???? ??? ??? ?? ??￥ ?? ?? ??????? ?? ??? ???? ?? ?? ????? ???? ??? ?? ?? ??? ?? ? ?? ???? ?? ???? ?μ? ??? ??С? ?? ?? ?? ????? ???? ???? ???? ?? ?? ?? ?? ?? ??? ????? ?? ??С? ??? ??ζ ???? ???? ??ζ ?? ???? ??? ???? ??? ?? ?? ??? ?? ???? ?? ?о? ??? ??? ???? ?? ?? ??? ??? ?? ???? ?? ???? ?? ?? ?? ?? ??? ??? ? ?? ???? ??? ??? ?? ?? ?? ??? ?? ??? ?? ???? ??? ????? ?? ???? ?? ?? ?? ??? ?? ?? ???? ??,???,???,???,518986,1,2017,11,3,22,333
С?????,2017/10/22 19:25,sml-str10,???? ? ?? ???? ???? ???? ?? ????? ??? ????? ??? ???? ?? ???? ?? ??? ? ?? ???? ???? ??? ?? ?? ??? ???? ?? ?? ?? ????? С? ???? ?? ???? ???? ?? ?? ?? ?? ???? ?? ??? ?? ?? ???? ???? ??? ? ??? ζ?? ?? ?? ?? ???? ???? ???? ???? ??? ???? ??? ?? ?? ??Щ ????? ? ??? ?? ?? ?? ???? ? ?????,??,???,??,518986,1,2017,10,6,19,191
????,2017/10/19 21:00,sml-str10,?????? ??? ??? ?? ? ???? ?? ?? ???? ???? ??? ???? ???? ??? ???? ??? ??,???,???,??,518986,1,2017,10,3,21,36
С?????,2017/10/18 17:10,sml-str10,??? ??? ?? ?? ? ?? ??? ??? ??? ???? ????? ?? ?? ? ???? ?? ?? ?,??,??,??,518986,1,2017,10,2,17,30
??????????,2017/10/6 11:52,sml-str10,???? ??? ??? ????? ?д? ?? ?? ????? ?? ??? ? ??? ?? ?????? ??? ???? ?? ??? ??? ?? ?? ???? ???? ??? ??? ?? ??? ?? ??? ???? ?? ?? ??? ???? ?? ?? ?? ??? ?????? ?? ?? ??? ??? ???? ??????? ???? ???н? ?? ???? ?? ?????? ??? ???? ???? ?? ????? ??? ???? ??? ?? ???? ??? ??? ?? ?ó? ?? ??? ???? ??? ?? ???,???,??,??,518986,1,2017,10,4,11,210
Qiu???,2017/10/5 22:48,sml-str10,??? ??????? ???? ???? ? ???? ?? ? ??? ???? ? ?? ????,??,??,??,518986,1,2017,10,3,22,30
С??????,2017/10/5 21:40,sml-str10,??? ?? ?????? ???? ?? ????? ?? ??? ???? ??? ?? ??? ??? ?? ?? ?? ??? ??? ??? ?? ???? ??? ??? ??? ??? ?κ? ??? ?? ?? ?? ???? ???? ?? ??ζ ??? ???? ??? ?? ?? ?????? ??? ?? ??? ????? ????? ?? ?? ?? ???? ?? ?? ??? ??? ??? ?? ???? ????? ???? ??? ?? ?? ? ?? ??? ?? ? ?? ??? ??? ?? ? ??? ? ?? ??? ???? ???? ?? ?? ??????? ???,??,???,??,518986,1,2017,10,3,21,221
w??????w,2017/9/19 16:36,sml-str10,??? ?? ??? ??? ?? ΧЦ ?? ??? ???? ?? ??? ?? ?? ???? ??,??,??,??,518986,1,2017,9,1,16,25
leayouya,2017/9/7 15:15,sml-str10,?? ?? ?? ??? ??? ???? ???? ? ???? ??? ???? ???? ???? ??? ??? ??? ?? ?? ?? ? ??? ???? ?? ?? ??? ???? ?? ?? ????? ????? ?? ??? ??? ??? ?????,??,??,??,518986,1,2017,9,3,15,83
????????,2017/8/19 22:03,sml-str10,?? ???? ?? ??? ?? ???? ????? ?? ?? ??? ?? ????? ? ?? ?? ?? ?? ?? ??? ???? ???? ??????? ?? ???? ? ??? ??,???,??,??,518986,1,2017,8,5,22,51
Qzone_1052835557,2017/8/12 15:28,sml-str10,??? ???? ??? ?? ?? ???? ?? ?? ?? ?? ???????? ? ?? ???? ?? ???? ??? ???? ??? ?? ?? ??? ?? ????,??,??,??,518986,1,2017,8,5,15,44
dpuser_15239562709,2017/8/5 19:45,sml-str10,??? ??? ???? ?? ??? ?ó? ???? ζ?? ?? ??? ?? ??? ?ο? ???,???,???,?????,518986,1,2017,8,5,19,29
???99,2017/8/4 15:02,sml-str10,???? ???? ?е? ??? ?????? ??? ?? ?? ??????? ?? ?? ??? ?? ?? ?? ???? ?? ? ?? ?? ?? ????? ?? ??? ????? ?? ???????? ?? ??? ??? ????,???,???,??,518986,1,2017,8,4,15,64
dpuser_3399726410,2017/7/28 20:35,sml-str10,???? ? ??? ?? ??? ?? ?? ???? ?? ?? ?? ?? ?? ??? ?? ???? ??? ??,??,??,??,518986,1,2017,7,4,20,29
??С??,2017/7/10 20:39,sml-str10,?? ?? ?? ???? ??? ???? ???? ?? ? ??? ???? ??? ????? ?? ??? ?????,??,??,??,518986,1,2017,7,0,20,34
dpuser_8778500516,2017/7/4 18:56,sml-str10,????? ? ?? ???? ??? ???? ?? ??? ????? ??????? ??? ??? ?? ??? ?? ??? ?? ????? ?? ???? ????? ???,???,???,??,518986,1,2017,7,1,18,48
alu10,2017/7/2 21:55,sml-str10,??? ?? ???? ?? ??? ?? ???? ?? ?? ???? ?? ????? ???? ??? ? ?? ??? ?? ??? ?? ???? ? ?? ???? ??? ???? ??? ?? ??? ?? ?? ????? ?? ??? ???? ???? ?? ? ?? ???? ? ??? ??? ???? ??? ?? ???? ?? ?? ??? ????? ??? ? ?? ?? ???? ??? ? ?? ???? ??? ?? ??? ??? ? ?? ???? ??? ? ?? ?? ?? ? ?? ? ???? ?? ?? ?? ??? ??? ?? ?? ??? ?? ???? ???? ??? ?? ???? ? ??? ?? ???? ?? ???? ??? ?? ??,??,??,??,518986,1,2017,7,6,21,237
aieho,2017/6/18 22:41,sml-str10,?H?? ?^?? ?? ? ?? ????? ?? ??? ?? ?? ?t???? ??_? ?? ?? ?? ?t???? ???? ?? ??? ?? ??N ???? ?? ??? ?? ??? ?? ?p??? ?? ??_ ??c ???2? ??? ??? ?? ?I?? ?? ???X ??? ??? ??? ???? ?? ? ?? ?X ??? ?t?? ????? ?? ?? ??N ?t???? ?? ??? ???? ???? ?r?? ?t???? ?? ?? ?f ?? ? ?B?r?? ??? ?? ??? ?f ?? ?? ??? ?? ?? ?? ?? ?? ?y?? ?? ?u ??? ?t?? ??? ?? ?? ???? ? ??? ?? ??? ?? ??? ????? ??N ????? ?_?? ??? ??? ?? ??? ?? ????? ?? ?? ?? ?_ ?????? ?? ???? ????? ?? ?? ?r?? ?t???? ?? ? ?? ???? ???? ??? ?? ?? ???? ?? ?? ??? ?? ???? ? ?? ?p??? ???? ?? ?? ????? ?? ?? ?? ?? ?????f?? ??? ?_?? ??? ??? ?? ??? ??? ?? ?? ?? ζ ?? ? ?? ?? ?? ????? ?? ?? ??I?^ ??? ? ?? ??? ?@?? ?? ???t?? ???t?? ??? ???? ?? ?? ??? ?K ?X ?? ?r?? ???? ?K ?X ?? ??? ???^ ?t?? ?? ζ?? ?? ?? ??? ?? ?? ??? ?? ?? ?? ???? ?? ?? ?? ???? ?p???,???,???,??,518986,1,2017,6,6,22,453
gdanson,2017/5/4 14:47,sml-str10,??? ???? ???? ?? ???? ?? ???? ?? ??? ?? ?? δ??? ?? ???? ???? ?? ?? ???? ?? ??? ????? ???? ?? ???? ?? ????? ????? ???? ??? ?? ???? ???? ???? ?? ??? ????? ???? ?? ???? ???? ?????? ?????? ??? ???? ????? ??? ?? ???? ???,??,???,??,518986,1,2017,5,3,14,174
dpuser_9541232873,2017/4/24 12:31,sml-str10,λ?? ???? ?? ???? ?? ???? ?? ???? ????￥ ???? ?? ?? ?? ?? ζ?? ??? ?????? ???? ??? ????? ???? ??? ζ?? ?? ?? ???? ???? ??? ???? ??? ?? ????? ???? ?? ?? ???? ???? ?? ???? ???? ??? ??? ???? ?? ???? ?? ?? ?????? ζ?? ??? ???? ???? ?? ? ??? ??? ??? ??? ???? ??? ???,??,???,??,518986,1,2017,4,0,12,193
???bassС????,2017/4/3 13:33,sml-str10,?? ??? ??? ??? ??? ??? ???? ?? ?? ?? ?? ?? ?? ??￥ ?? ??? ?? ??￥ ???? ??? ?? ??? ?? ?? ??? ?? ??? ?? ??? ? ?? ?? ?? ?? ?? ??? ? ???? ?? ???? ??,?????,??,??,518986,1,2017,4,0,13,70
????,2017/3/27 22:52,sml-str10,??????? ??? ?? ??? ??ò ?? ???,??,??,??,518986,1,2017,3,0,22,17
zoyocom,2017/3/22 17:51,sml-str10,??? ?? ??? ?? ?? ??? ?? ??? ?? ??? ?? ???,??,??,??,518986,1,2017,3,2,17,20
__Erica__,2017/3/19 16:04,sml-str10,???? ?? ?? ?f ?? ?? ?m? ???? ?? ????? ? ???? ?@?N ?????? ?? ?? ?? ?? ?f ?|?? ?ò??? ?? ? ?? ?f ?h?? ???N?? ??S ???? ? ?? ?? ????λ?? ?? ?? ???? ?? ???н? ?@?e ???? ????T ?B?? ??? ?? ?? ?? ?? ?? ? ?? ?o?? ???u ???? ?? ???? ?? ??? ????T ?f ? ?B?? ?? ???? ?? ?_ ??? ?? ?????ИI ?? ?? ????? ?? ??g ????e ?? ?? ?? ?e ?? ???? ??T?e ?? ?? ?? ? ?? ??N ?? ???? ?ú? ?f? ?? ? ?? ?@?? ?? ? ?? ??N ????T ?? ??? ??c ??? ? ?? ?] ?? ????T???? ?? ??? ?? ??? ?? ?? ????T ? ?]?o ??? ???^ ??? ?? ???? ?? ??N?F ?? ?? ????? ??? ?? ??? ?@?? ?? ??? ?N?? ???? ??T ???c ?? ??? ?? ?? ?? ?? ?? ?? ?B?? ?? ???? ?? ?? ?? ?@?N ???? ?? ? ?? ?? ?? ?? ?@?? ?? ???? ??? ???? ??? ?? ???,??,??,??,518986,1,2017,3,6,16,368
